Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR2977666	(1.0, 63.3045747325925)	(2.0, 14.187270202669112)	(3.0, 5.75956597658346)	(4.0, 3.0603901479406543)	(5.0, 1.998027654571461)	(6.0, 1.4562205328001647)	(7.0, 1.1356851442698772)	(8.0, 0.8762228447075378)	(9.0, 0.7265393049048673)	('>10', 5.699890789185697)	('>50', 0.5776594374318427)	('>100', 0.3278735534600307)	('>500', 0.12025797117677318)	('>1k', 0.523344874565587)	('>5k', 0.07351765303809608)	('>10k+', 0.17295918010232292)
SRR2977667	(1.0, 45.19959496479091)	(2.0, 15.001126362826845)	(3.0, 6.716460535912047)	(4.0, 3.828062114031536)	(5.0, 2.5326218348729075)	(6.0, 1.8695285411533824)	(7.0, 1.4096899874763407)	(8.0, 1.1452713086373836)	(9.0, 0.963853303575808)	('>10', 9.437825648159052)	('>50', 1.7769090045379128)	('>100', 1.6797886167077603)	('>500', 0.39287873236834453)	('>1k', 1.2582562972548363)	('>5k', 1.4245696201791673)	('>10k+', 5.363563127515739)
SRR2977668	(1.0, 43.800728010452964)	(2.0, 16.46445664509051)	(3.0, 8.173954633470784)	(4.0, 4.850504557575662)	(5.0, 3.1734138029593684)	(6.0, 2.382325958654158)	(7.0, 1.9253849308406248)	(8.0, 1.4539185988163486)	(9.0, 1.2136659950583621)	('>10', 11.626444013989154)	('>50', 2.0747681994251628)	('>100', 1.5652863953868723)	('>500', 0.29294979159431905)	('>1k', 0.6075800243395999)	('>5k', 0.15600740722385226)	('>10k+', 0.2386110351223052)
SRR2977669	(1.0, 47.63526350859187)	(2.0, 16.31824101528095)	(3.0, 7.277759886413575)	(4.0, 4.356165001898039)	(5.0, 2.842783655119471)	(6.0, 2.0262083818162484)	(7.0, 1.5124354573668886)	(8.0, 1.2925265854832506)	(9.0, 1.072696038121011)	('>10', 10.653482666624413)	('>50', 2.2163022845748723)	('>100', 2.19416431416735)	('>500', 0.19554104766757954)	('>1k', 0.19494161157816559)	('>5k', 0.2114885452963635)	('>10k+', 0.0)
SRR2977670	(1.0, 54.044891290603836)	(2.0, 14.2135826661264)	(3.0, 5.858815937971441)	(4.0, 3.304305943546887)	(5.0, 2.1621266776354258)	(6.0, 1.5951590886960636)	(7.0, 1.2705316165573486)	(8.0, 1.03965944863677)	(9.0, 0.8441084605915126)	('>10', 8.024598954093259)	('>50', 1.3633329335484434)	('>100', 1.2606264919166412)	('>500', 0.3295420255627143)	('>1k', 1.4348235492986563)	('>5k', 1.2717212400116544)	('>10k+', 1.9821736752029564)
SRR2977671	(1.0, 48.1764662095945)	(2.0, 15.457215889703116)	(3.0, 6.8088927864490305)	(4.0, 3.750528890938155)	(5.0, 2.58281978369044)	(6.0, 1.8592942204514795)	(7.0, 1.4698863126740074)	(8.0, 1.141852792529186)	(9.0, 0.9491002906603948)	('>10', 9.059742182760923)	('>50', 1.7280548442664019)	('>100', 1.5762876354362405)	('>500', 0.3020088062722746)	('>1k', 1.39027961574827)	('>5k', 1.206445845646926)	('>10k+', 2.5411238931786966)
SRR2977672	(1.0, 37.06628378889854)	(2.0, 14.386678805825648)	(3.0, 7.525463317797931)	(4.0, 4.325791693447907)	(5.0, 2.970606926399675)	(6.0, 2.0726946208972654)	(7.0, 1.6339074673989897)	(8.0, 1.314150153326929)	(9.0, 1.0240810020709272)	('>10', 9.600156302166864)	('>50', 1.741576098939615)	('>100', 1.7308964436465564)	('>500', 0.5698886863036966)	('>1k', 1.1831291526866041)	('>5k', 1.19421961748917)	('>10k+', 11.660475922703615)
SRR2977673	(1.0, 54.23542160643312)	(2.0, 14.714246321454471)	(3.0, 6.656870219164815)	(4.0, 3.628364591136531)	(5.0, 2.4596783378488225)	(6.0, 1.6711570166314218)	(7.0, 1.290709972815193)	(8.0, 0.9985378988738405)	(9.0, 0.8126334119534167)	('>10', 7.727399157683259)	('>50', 1.2752624041247551)	('>100', 0.9766552189654437)	('>500', 0.10844199905593338)	('>1k', 0.4552076634516954)	('>5k', 0.4563972540671183)	('>10k+', 2.5330169263401645)
SRR2977674	(1.0, 64.06975565051708)	(2.0, 13.873163132009925)	(3.0, 5.199016949789299)	(4.0, 2.808805793802286)	(5.0, 1.8145684374506594)	(6.0, 1.3291582824595856)	(7.0, 0.9268320158296421)	(8.0, 0.7471640785864648)	(9.0, 0.5963614432436107)	('>10', 4.919643031750133)	('>50', 0.5488810375596221)	('>100', 0.4153860133083927)	('>500', 0.14077179012297117)	('>1k', 0.6852361678642055)	('>5k', 0.6578192932590815)	('>10k+', 1.2674368824470352)
SRR2977675	(1.0, 54.60340985374592)	(2.0, 15.776482645163064)	(3.0, 7.646515706926127)	(4.0, 4.339076075320567)	(5.0, 2.6703227480709724)	(6.0, 1.909563613415472)	(7.0, 1.4169224528219369)	(8.0, 1.1114440609684486)	(9.0, 0.8688924070079664)	('>10', 6.685771712807228)	('>50', 0.9007849217426003)	('>100', 0.6133834135701801)	('>500', 0.10806046895511952)	('>1k', 0.41133105090232325)	('>5k', 0.3975063303530078)	('>10k+', 0.5405325382289462)
