.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR2978730	1	1	0.25	1	0.25	0.5	1	1	1	0.5	1
SRR2978731	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978732	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978733	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978734	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978735	1	1	0.25	1	0.25	0.25	1	1	1	0.5	1
SRR2978736	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978737	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978738	1	1	0.25	1	0.25	0.25	1	1	0.5	1	1
SRR2978739	1	1	0.25	1	0.25	0.25	1	1	0.5	1	1
SRR2978740	1	1	0.25	1	0.25	0.25	1	1	0.5	1	1
SRR2978741	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978742	1	1	0.25	1	0.25	0.25	1	1	1	0.5	1
SRR2978743	1	1	0.25	1	0.25	0.25	1	1	1	0.5	1
SRR2978744	1	1	0.25	1	0.25	0.25	1	1	1	0.5	1
SRR2978745	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978746	1	1	0.25	1	0.25	0.25	1	1	1	0.5	1
SRR2978747	1	1	0.25	1	0.25	0.25	1	1	1	0.5	1
SRR2978748	1	1	0.25	1	0.25	0.5	1	1	0.5	1	1
SRR2978749	1	1	0.25	1	0.25	0.25	1	1	0.5	1	1
SRR2978750	1	1	0.25	1	0.25	0.25	1	1	0.5	1	1
SRR2978751	1	1	0.25	1	0.25	0.25	1	1	1	0.5	1
SRR2978752	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978753	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978754	1	1	0.25	1	0.25	0.25	1	1	1	0.5	1
SRR2978755	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978756	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978757	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978758	1	1	0.25	1	0.25	0.5	1	1	1	0.5	1
SRR2978759	1	1	0.25	1	0.25	0.25	1	1	1	0.5	1
SRR2978760	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978761	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978762	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978763	1	1	0.25	1	0.25	0.5	1	1	1	0.5	1
SRR2978764	1	1	0.25	1	0.25	0.25	1	1	1	0.5	1
SRR2978765	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978766	1	1	0.25	1	0.25	0.25	1	1	1	0.5	1
SRR2978767	1	1	0.25	1	0.25	0.5	1	1	1	0.5	1
SRR2978768	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978769	1	1	0.25	1	0.25	0.5	1	1	1	0.5	1
SRR2978770	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978771	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978772	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978773	1	1	0.25	1	0.25	0.25	1	1	1	0.5	1
SRR2978774	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978775	1	1	1	1	0.25	0.25	1	1	1	0.25	1
SRR2978776	1	1	0.25	1	0.25	0.25	1	1	1	0.5	1
SRR2978777	1	1	0.25	1	0.25	0.5	1	1	1	0.5	1
SRR2978778	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978779	1	1	0.25	1	0.25	0.5	1	1	1	0.5	1
SRR2978780	1	1	0.25	1	0.25	0.5	1	1	1	0.5	1
SRR2978781	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978782	1	1	0.25	1	0.25	0.5	1	1	1	0.5	1
SRR2978783	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978784	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978785	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978786	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978787	1	1	0.25	1	0.25	0.25	1	1	1	0.25	1
SRR2978788	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978789	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978790	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978791	1	1	0.25	1	0.25	0.25	1	1	1	0.5	1
SRR2978792	1	1	0.25	1	0.25	0.25	1	1	1	0.25	1
SRR2978793	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978794	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978795	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978796	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978797	1	1	0.25	1	0.25	0.25	1	1	0.5	1	1
SRR2978798	1	1	0.25	1	0.25	0.25	1	1	1	0.25	1
SRR2978799	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978800	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978801	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978802	1	1	0.25	1	0.25	0.25	1	1	1	0.5	1
SRR2978803	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978804	1	1	0.25	1	0.25	0.5	1	1	1	0.5	1
SRR2978805	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978806	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978807	1	1	0.25	1	0.25	0.5	1	1	0.5	0.25	1
SRR2978808	1	1	0.25	1	0.25	0.5	1	1	1	0.5	1
SRR2978809	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978810	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978811	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978812	1	1	0.25	1	0.25	0.5	1	1	1	0.25	1
SRR2978813	1	1	0.25	1	0.25	0.5	1	1	0.5	0.25	1
SRR2978814	1	1	0.25	1	0.25	0.25	1	1	1	0.5	1
SRR2978815	1	1	0.25	1	0.25	0.5	1	1	1	0.5	1
SRR2978816	1	1	0.25	1	0.25	0.5	1	1	1	0.5	1
SRR2978817	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978818	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978819	1	1	0.25	1	0.25	0.5	1	1	1	0.5	1
SRR2978820	1	1	0.25	1	0.25	0.25	1	1	1	0.5	1
SRR2978821	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978822	1	1	0.25	1	0.25	0.25	1	1	1	0.5	1
SRR2978823	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978824	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978825	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978826	1	1	0.25	1	0.25	0.25	1	1	1	0.5	1
SRR2978827	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978828	1	1	0.25	1	0.25	0.5	1	1	1	0.5	1
SRR2978829	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978830	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978831	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978832	1	1	0.25	1	0.25	0.25	1	1	0.5	1	1
SRR2978833	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978834	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978835	1	1	0.25	1	0.25	0.25	1	1	1	0.5	1
SRR2978836	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978837	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978838	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978839	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978840	1	1	0.25	1	0.25	0.25	1	1	1	0.5	1
SRR2978841	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978842	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978843	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978844	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978845	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978846	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978847	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978848	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978849	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978850	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978851	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978852	1	1	0.25	1	0.25	0.25	1	1	1	0.5	1
SRR2978853	1	1	0.25	1	0.25	0.5	1	1	1	0.5	1
SRR2978854	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978855	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978856	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978857	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978858	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978860	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978861	1	1	0.25	1	0.25	0.25	1	1	1	0.5	1
SRR2978862	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978863	1	1	0.25	1	0.25	0.25	1	1	1	0.5	1
SRR2978864	1	1	0.25	1	0.25	0.25	1	1	1	0.5	1
SRR2978865	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978866	1	1	0.25	1	0.25	0.25	1	1	1	0.5	1
SRR2978867	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978868	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978869	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978870	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978871	1	1	0.25	1	0.25	0.25	1	1	1	0.5	1
SRR2978872	1	1	0.25	1	0.25	0.25	1	1	1	0.5	1
SRR2978873	1	1	0.25	1	0.25	0.25	1	1	1	0.5	1
SRR2978874	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978875	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978876	1	1	0.25	1	0.25	0.25	1	1	1	0.5	1
SRR2978877	1	1	0.25	1	0.25	0.5	1	1	1	0.5	1
SRR2978878	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978879	1	1	0.25	1	0.25	0.25	1	1	1	0.5	1
SRR2978880	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978881	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978882	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978883	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978884	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978885	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978886	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978887	1	1	0.25	1	0.25	0.25	1	1	1	0.5	1
SRR2978888	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978889	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978890	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978891	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978892	1	1	0.25	1	0.25	0.5	1	1	1	0.5	1
SRR2978893	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978894	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978895	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978896	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978897	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978898	1	1	0.25	1	0.25	0.25	1	1	1	0.5	1
SRR2978899	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978900	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978901	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978902	1	1	1	1	0.25	0.25	1	1	1	0.5	1
SRR2978903	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978904	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978905	1	1	1	1	0.25	0.25	1	1	1	0.5	1
SRR2978906	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978907	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978908	1	1	1	1	0.25	0.25	1	1	1	0.5	1
SRR2978909	1	1	1	1	0.25	0.5	1	1	1	0.5	1
SRR2978910	1	1	1	1	0.25	0.25	1	1	1	1	1
SRR2978911	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978912	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2978913	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978914	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978915	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978916	1	1	1	1	0.25	0.25	1	1	1	0.5	1
SRR2978917	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978918	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2978919	1	1	1	1	0.25	0.25	1	1	1	1	1
SRR2978920	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978921	1	1	1	1	0.25	0.25	1	1	1	1	1
SRR2978922	1	1	1	1	0.25	0.25	1	1	1	1	1
SRR2978923	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978924	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2978925	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978926	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978927	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978928	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978929	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978930	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978931	1	1	1	1	0.25	0.25	1	1	1	0.5	1
SRR2978932	1	1	1	1	0.25	0.25	1	1	1	0.5	1
SRR2978933	1	1	1	1	0.25	0.5	1	1	1	0.5	1
SRR2978934	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978935	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2978936	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2978937	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978938	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2978939	1	1	1	1	0.25	0.5	1	1	1	0.5	1
SRR2978940	1	1	1	1	0.25	0.25	1	1	1	0.5	1
SRR2978941	1	1	1	1	0.25	0.25	1	1	1	0.5	1
SRR2978942	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978943	1	1	1	1	0.25	0.5	1	1	1	0.5	1
SRR2978944	1	1	1	1	0.25	0.25	1	1	1	0.5	1
SRR2978945	1	1	1	1	0.25	0.5	1	1	1	0.5	1
SRR2978946	1	1	1	1	0.25	0.25	1	1	1	0.5	1
SRR2978947	1	1	1	1	0.25	0.25	1	1	1	1	1
SRR2978948	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2978949	1	1	1	1	0.25	0.25	1	1	1	1	1
SRR2978950	1	1	1	1	0.25	0.25	1	1	1	0.5	1
SRR2978951	1	1	1	1	0.25	0.5	1	1	1	0.5	1
SRR2978952	1	1	1	1	0.25	0.5	1	1	1	0.5	1
SRR2978953	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978954	1	1	1	1	0.25	0.25	1	1	1	0.5	1
SRR2978955	1	1	1	1	0.25	1	1	1	1	0.5	1
SRR2978956	1	1	1	1	0.25	0.5	1	1	1	0.5	1
SRR2978957	1	1	1	1	0.25	0.5	1	1	1	0.5	1
SRR2978958	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978959	1	1	1	1	0.25	0.25	1	1	1	0.5	1
SRR2978960	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2978961	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2978962	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978963	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978964	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978965	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2978966	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978967	1	1	1	1	0.25	0.25	1	1	1	0.5	1
SRR2978968	1	1	1	1	0.25	0.25	1	1	1	0.5	1
SRR2978969	1	1	1	1	0.25	0.25	1	1	1	0.5	1
SRR2978970	1	1	1	1	0.25	0.25	1	1	1	0.5	1
SRR2978971	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2978972	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2978973	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978974	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2978975	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978976	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2978977	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978978	1	1	1	1	0.25	0.25	1	1	1	1	1
SRR2978979	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2978980	1	1	1	1	0.25	0.25	1	1	1	0.5	1
SRR2978981	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2978982	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978983	1	1	1	1	0.25	0.5	1	1	1	0.5	1
SRR2978984	1	1	1	1	0.25	0.5	1	1	1	1	1
SRR2978985	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2978986	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2978987	1	1	1	1	0.25	0.5	1	1	0.5	1	1
SRR2978988	1	1	1	1	0.25	0.5	1	1	1	0.5	1
SRR2978989	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978990	1	1	1	1	0.25	0.25	1	1	1	1	1
SRR2978991	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2978992	1	1	1	1	0.25	0.5	1	1	1	1	1
SRR2978993	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978994	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978995	1	1	0.25	1	0.25	0.25	1	1	0.5	1	1
SRR2978996	1	1	0.25	1	0.25	0.5	1	1	1	0.5	1
SRR2978997	1	1	1	1	0.25	0.5	1	1	0.5	1	1
SRR2978998	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978999	1	1	0.25	1	0.25	0.25	1	1	0.5	1	1
SRR2979000	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR2979001	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979002	1	1	0.25	1	0.25	0.25	1	1	0.5	1	1
SRR2979003	1	1	0.25	1	0.25	0.25	1	1	0.5	1	1
SRR2979004	1	1	0.25	1	0.25	0.5	1	1	0.5	1	1
SRR2979005	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR2979006	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR2979007	1	1	0.25	1	0.25	0.25	1	1	0.5	1	1
SRR2979008	1	1	0.25	1	0.25	0.25	1	1	0.5	1	1
SRR2979009	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979010	1	1	0.25	1	0.25	0.5	1	1	0.5	1	1
SRR2979011	1	1	0.25	1	0.25	0.25	1	1	0.5	1	1
SRR2979012	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979013	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979014	1	1	0.25	1	0.25	0.25	1	1	1	0.5	1
SRR2979015	1	1	0.25	1	0.25	0.5	1	1	1	1	1
SRR2979016	1	1	0.25	1	0.25	0.25	1	1	1	1	1
SRR2979017	1	1	0.25	1	0.25	0.25	1	1	1	0.5	1
SRR2979018	1	1	0.25	1	0.25	0.25	1	1	1	0.5	1
SRR2979019	1	1	0.25	1	0.25	0.25	1	1	1	0.5	1
SRR2979020	1	1	0.25	1	0.25	0.25	1	1	1	1	1
SRR2979021	1	1	0.25	1	0.25	0.25	1	1	1	0.5	1
SRR2979022	1	1	0.25	1	0.25	0.25	1	1	1	0.5	1
SRR2979023	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979024	1	1	0.25	1	0.25	0.25	1	1	1	0.5	1
SRR2979025	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979026	1	1	0.25	1	0.25	0.25	1	1	1	0.5	1
SRR2979027	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979028	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979029	1	1	0.25	1	0.25	0.25	1	1	0.5	1	1
SRR2979030	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979031	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR2979032	1	1	0.5	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979034	1	1	0.25	1	0.25	0.25	1	1	0.5	1	1
SRR2979035	1	1	0.25	1	0.25	0.25	1	1	0.5	1	1
SRR2979036	1	1	0.25	1	0.25	0.25	1	1	0.5	1	1
SRR2979037	1	1	0.5	1	0.25	0.5	1	1	1	1	1
SRR2979038	1	1	0.5	1	0.25	0.5	1	1	0.5	1	1
SRR2979039	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2979040	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2979041	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2979042	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979043	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979044	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979045	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979046	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2979047	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2979048	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979049	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2979050	1	1	1	1	0.25	0.25	1	1	0.25	1	1
SRR2979051	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2979052	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2979053	1	1	1	1	0.25	0.5	1	1	0.5	1	1
SRR2979054	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2979055	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2979056	1	1	1	1	0.25	0.5	1	1	0.5	1	1
SRR2979057	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2979058	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2979059	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2979060	1	1	1	1	0.25	0.25	1	1	1	1	1
SRR2979061	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2979062	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2979063	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979064	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2979065	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2979066	1	1	1	1	0.25	0.5	1	1	0.5	1	1
SRR2979067	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2979068	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2979069	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2979070	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2979071	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2979072	1	1	1	1	0.25	0.5	1	1	0.5	1	1
SRR2979073	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2979074	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2979075	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2979076	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2979077	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2979078	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2979079	1	1	1	1	0.25	0.5	1	1	0.5	1	1
SRR2979080	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2979081	1	1	1	1	0.25	0.25	1	1	1	0.5	1
SRR2979082	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979083	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2979084	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2979085	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979086	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979087	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2979088	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2979089	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2979090	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2979091	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2979092	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979093	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979094	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979095	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2979096	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2979097	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2979098	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2979099	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2979100	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2979101	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2979102	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2979103	1	1	1	1	0.25	0.5	1	1	0.5	1	1
SRR2979104	1	1	1	1	0.25	0.25	1	1	0.25	1	1
SRR2979105	1	1	1	1	0.25	0.25	1	1	0.5	1	1
SRR2979106	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
