Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR2977663	(1.0, 42.62776415441763)	(2.0, 15.077462910441863)	(3.0, 7.4079672171708575)	(4.0, 4.2413557638022725)	(5.0, 2.8890224738537356)	(6.0, 2.0694229675439506)	(7.0, 1.5956296955311182)	(8.0, 1.3332828244047907)	(9.0, 1.0450142425555453)	('>10', 10.732511756839228)	('>50', 2.5527111983558846)	('>100', 2.876003045878858)	('>500', 0.38632673527801475)	('>1k', 0.7281547470158369)	('>5k', 0.5924411224248984)	('>10k+', 3.8449291444853815)
SRR2977664	(1.0, 53.77658168803854)	(2.0, 15.72241764757506)	(3.0, 6.607510038771716)	(4.0, 3.465587018110589)	(5.0, 2.2161648787277164)	(6.0, 1.5644060602900662)	(7.0, 1.2046143584619604)	(8.0, 0.9292836255945992)	(9.0, 0.8044680371407474)	('>10', 7.415618507475699)	('>50', 1.62944545413939)	('>100', 1.6248204694015296)	('>500', 0.3316386579417529)	('>1k', 0.924514093551607)	('>5k', 0.8818703523260399)	('>10k+', 0.9010591124530923)
SRR2977665	(1.0, 49.97838794545116)	(2.0, 16.138861051339674)	(3.0, 6.901278000449242)	(4.0, 3.821626464528919)	(5.0, 2.37927586157107)	(6.0, 1.715075571864859)	(7.0, 1.2689875758647216)	(8.0, 0.9670211532834668)	(9.0, 0.8456340103574989)	('>10', 8.052184926581592)	('>50', 1.7449602509200948)	('>100', 1.8634626824006881)	('>500', 0.38214419804513616)	('>1k', 0.8717869918767912)	('>5k', 1.1703741187549375)	('>10k+', 1.8989391967100995)
SRR2977666	(1.0, 45.51161566379334)	(2.0, 15.41751027554863)	(3.0, 7.615442851432122)	(4.0, 4.323687284682559)	(5.0, 2.9908347391368886)	(6.0, 2.163549778527914)	(7.0, 1.6167377200245032)	(8.0, 1.263508632910249)	(9.0, 1.0685788727967862)	('>10', 10.728937847627197)	('>50', 2.359521046981209)	('>100', 2.1251026069810512)	('>500', 0.3284482936715087)	('>1k', 0.5890467381791702)	('>5k', 0.69627930437223)	('>10k+', 1.2011983433347284)
SRR2977667	(1.0, 35.18584956648365)	(2.0, 15.662633791900152)	(3.0, 8.01944967185821)	(4.0, 4.778544039770246)	(5.0, 3.1599671645006877)	(6.0, 2.291260027978936)	(7.0, 1.8046973957221422)	(8.0, 1.4699350953198174)	(9.0, 1.205314758950659)	('>10', 12.246855701032674)	('>50', 2.7327004677403868)	('>100', 2.5787442342391675)	('>500', 0.4215891539332817)	('>1k', 0.8569808290925671)	('>5k', 1.1558333515553396)	('>10k+', 6.42964474992208)
SRR2977668	(1.0, 34.10221097654037)	(2.0, 16.472032277902148)	(3.0, 8.99765706398165)	(4.0, 5.678120683325296)	(5.0, 4.005599135689172)	(6.0, 2.8971152637073825)	(7.0, 2.2673040835628075)	(8.0, 1.7203618696382736)	(9.0, 1.5444082462800577)	('>10', 14.958002007444179)	('>50', 3.1019109265016396)	('>100', 2.681765318751949)	('>500', 0.29578150083486465)	('>1k', 0.65187130985454)	('>5k', 0.16694936911891073)	('>10k+', 0.4589099668667241)
SRR2977669	(1.0, 37.13581454529006)	(2.0, 17.10186028249575)	(3.0, 8.514768117919044)	(4.0, 5.206733206826991)	(5.0, 3.5170696037682534)	(6.0, 2.5774900794660542)	(7.0, 1.8767807081797272)	(8.0, 1.57731161730375)	(9.0, 1.2796660435808582)	('>10', 13.556135902339161)	('>50', 3.152532830049548)	('>100', 3.5428275164278626)	('>500', 0.3891430368567351)	('>1k', 0.20554516969401265)	('>5k', 0.0757850224572212)	('>10k+', 0.29053631734506474)
SRR2977670	(1.0, 43.23855042078792)	(2.0, 15.443114204320555)	(3.0, 7.345906975257263)	(4.0, 4.214495385622598)	(5.0, 2.8018184956067866)	(6.0, 2.0347214531489928)	(7.0, 1.565262333194339)	(8.0, 1.2954394668922258)	(9.0, 1.076653017900548)	('>10', 11.193547151785982)	('>50', 2.3682767261101474)	('>100', 2.0464286152514592)	('>500', 0.3806390113333665)	('>1k', 1.0312402230668374)	('>5k', 0.8427127741720407)	('>10k+', 3.1211937455489216)
SRR2977671	(1.0, 37.758816676188985)	(2.0, 16.168998624053046)	(3.0, 8.02280087295232)	(4.0, 4.727314649980003)	(5.0, 3.246841190612123)	(6.0, 2.3640252652191704)	(7.0, 1.853856248573737)	(8.0, 1.453349881519633)	(9.0, 1.270118700612259)	('>10', 12.099625832733594)	('>50', 2.662345096240895)	('>100', 2.614208883507607)	('>500', 0.32604699458899306)	('>1k', 0.663208771657514)	('>5k', 0.8805422259413286)	('>10k+', 3.887900085618759)
SRR2977672	(1.0, 28.43210652669152)	(2.0, 13.915143237019818)	(3.0, 8.245248021512108)	(4.0, 5.194624519801564)	(5.0, 3.6113252999619503)	(6.0, 2.6797291879890244)	(7.0, 2.083083520809156)	(8.0, 1.6310326983096126)	(9.0, 1.4178164007161802)	('>10', 12.608380013733758)	('>50', 2.5599679977385663)	('>100', 2.5665220115352385)	('>500', 0.5281955028779337)	('>1k', 1.0960474980622592)	('>5k', 0.576983088730562)	('>10k+', 12.853794474510764)
SRR2977673	(1.0, 35.49504999976036)	(2.0, 13.037600887298279)	(3.0, 7.564762849289822)	(4.0, 4.8205045659588)	(5.0, 3.235397458836048)	(6.0, 2.406084568825291)	(7.0, 1.8605135831656399)	(8.0, 1.5735779005001023)	(9.0, 1.2607342607996765)	('>10', 11.85288226643126)	('>50', 2.974314805619752)	('>100', 3.8813597922924026)	('>500', 0.7266139533550652)	('>1k', 0.796337216708937)	('>5k', 0.53986457534669)	('>10k+', 7.974401315811665)
SRR2977674	(1.0, 44.93701416832126)	(2.0, 15.115392394182681)	(3.0, 7.193541847744436)	(4.0, 4.011093808603265)	(5.0, 2.7296699856984867)	(6.0, 1.8874422185249116)	(7.0, 1.3892957058989188)	(8.0, 1.111266314659305)	(9.0, 0.93709773249741)	('>10', 9.086426268695746)	('>50', 1.919924920521139)	('>100', 1.8990202244911356)	('>500', 0.434364428486836)	('>1k', 0.8600383724690396)	('>5k', 1.0762679522724166)	('>10k+', 5.412143656932958)
SRR2977675	(1.0, 37.18768979810469)	(2.0, 13.32719868379971)	(3.0, 8.516859946445573)	(4.0, 5.587347167008079)	(5.0, 4.0933787722645425)	(6.0, 3.1371805213812403)	(7.0, 2.402030302673558)	(8.0, 1.8419388310776492)	(9.0, 1.5636438867993443)	('>10', 12.674832038726597)	('>50', 2.425267519276031)	('>100', 2.711975897992753)	('>500', 0.42667423498493817)	('>1k', 0.6418363628618758)	('>5k', 0.5108700650442102)	('>10k+', 2.9512759715592227)
