"","x"
"ENSG00000237882",-12552
"ENSG00000159186",-12610.5
"ENSG00000152284",-12722
"ENSG00000117592",-12793
"ENSG00000261614",-12793.5
"ENSG00000277358",-12845.5
"ENSG00000223460",-12967
"ENSG00000218582",-13090
"ENSG00000074800",-13090
"ENSG00000165732",-13106
"ENSG00000229182",-13149
"ENSG00000230362",-13189.5
"ENSG00000123131",-13192
"ENSG00000225662",-13333
"ENSG00000085662",-13385
"ENSG00000114126",-13492
"ENSG00000239672",-13534.5
"ENSG00000248180",-13684
"ENSG00000102144",-13685.5
"ENSG00000213376",-13767.5
"ENSG00000257727",-13890
"ENSG00000134986",-13925.5
"ENSG00000235207",-13958.5
"ENSG00000171204",-13983.5
"ENSG00000100442",-14012
"ENSG00000286676",-14036
"ENSG00000213857",-14248.5
"ENSG00000171314",-14349
"ENSG00000213684",-14466.5
"ENSG00000167470",-14532
"ENSG00000180992",-14634
"ENSG00000168268",-14910
"ENSG00000270532",-15017
"ENSG00000067048",-15074
"ENSG00000113657",-15128
"ENSG00000213719",-15415
"ENSG00000161249",-15472
"ENSG00000088305",-15507
"ENSG00000107438",-15608
"ENSG00000225530",-15620
"ENSG00000188322",-15822
"ENSG00000160783",-15917.5
"ENSG00000218186",-16162
"ENSG00000164687",-16170.5
"ENSG00000249210",-16350.5
"ENSG00000134684",-16774
"ENSG00000236972",-16958.5
"ENSG00000219951",-17061.5
"ENSG00000254519",-17145.5
"ENSG00000135100",-17164
"ENSG00000102390",-17865
"ENSG00000005022",-17904
"ENSG00000129235",-17926.5
"ENSG00000135404",-18145
"ENSG00000293263",-18251.5
"ENSG00000240563",-18328
"ENSG00000173674",-19283
"ENSG00000237007",-19456
"ENSG00000108055",-19968.5
"ENSG00000136014",-20285
"ENSG00000166681",-20769
"ENSG00000049449",-20814
"ENSG00000147274",-20995
"ENSG00000280707",-21244
"ENSG00000111716",-21322
"ENSG00000096746",-21374
"ENSG00000136888",-21861
"ENSG00000181449",-22126
"ENSG00000154277",-22341
"ENSG00000237872",-22500.5
"ENSG00000064666",-22603
"ENSG00000180964",-22851.5
"ENSG00000118418",-23082.5
"ENSG00000226278",-23097.5
"ENSG00000142089",-23891
"ENSG00000265992",-23948
"ENSG00000223722",-23991
"ENSG00000204525",-24128
"ENSG00000204272",-24482
"ENSG00000008394",-24863
"ENSG00000102316",-25144
