"","segIdx","rho","sigma","mu","mu.scaled","zero","f_stats"
"ENSMUSG00000000751",0.832127185221884,0.89570774005937,1.03618317787634,8.51247930150794,0.554562665637925,0,-0.774077610254519
"ENSMUSG00000000759",0.470769339656027,0.557762049516389,1.46025623829297,6.42242585318876,0.418401898725397,0.0528080066352442,0.0441809748911549
"ENSMUSG00000000776",0.387500884705216,0.564107883546403,1.34578889617667,6.16902232655412,0.401893412517707,0.0507244112886426,2.3180530966731
"ENSMUSG00000000782",0.49478023922429,0.629851501072186,1.28710318783318,5.80577066249287,0.378228646814893,0.0506752944276264,1.07277604811053
"ENSMUSG00000000787",0.799401939273834,1,1.01200841699761,9.46013480589566,0.616299603681342,0,1.34099605540226
"ENSMUSG00000000791",0.47704189963904,0.0385663527584498,0.057450457716381,2.24762369778052,0.146425953016637,0.0651097927006017,1.77464408380899
"ENSMUSG00000000804",0.477670040342558,0.763414872106718,1.53534335315525,5.63780198391924,0.367285986898582,0.0670386073174111,0.771480723750568
"ENSMUSG00000000805",0.130476325288414,0.569948146463309,1.53244382550899,7.69372337137123,0.501223151544996,0.373727553773357,6.39942425663832
"ENSMUSG00000000811",0.352112676056338,0.561516716789115,1.24351452758179,4.51326702448312,0.294025878349727,0.224944070038432,1.53580826869039
"ENSMUSG00000000823",0.644454667704721,0.82391341357154,1.17573253864926,8.27746791825828,0.539252372878579,0.0251302076681279,0.992136806120466
